,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdimgrey,kMEsilver
A1BG,89,black,black,0,0.7087725382172961,0.19021173158066776,0.021899836356352922
A1CF,93,black,black,0,0.8602244604788659,-0.05357094269846467,0.39377119856554166
A2M,112,black,black,0,0.7848573258959114,0.02932762848825008,0.4274711197466912
AAK1,141,black,black,0,-0.707161959249068,-0.1176417762342039,-0.04926250751623548
AASS,91,black,black,0,0.908513569537593,-0.1027643746611481,0.42057727682354085
ABCA1,118,black,black,0,0.7153979039371273,-0.11325326353373011,0.49236770908737665
ABCA6,84,black,black,0,0.8945690782967797,-0.029783047768089425,0.33033233696449127
ABCB11,95,black,black,0,0.6797797680667107,0.022604777561175744,0.2078731562355642
ABCC2,83,black,black,0,0.5576030401913851,-0.12445548675629381,0.19885304444536764
ABCC6,86,black,black,0,0.7077520714361707,-0.15416311839057606,0.33043152923141283
ABCD3,110,black,black,0,0.7246504706792489,-0.143213656456979,0.399092491827592
ABHD2,134,black,black,0,0.5181546779615938,-0.22413228763553758,0.34472111934591193
ABLIM1,132,black,black,0,0.5396138262049144,-0.29242646196388195,0.4857498916548807
ABLIM3,101,black,black,0,0.8237008111856512,-0.0796598561069524,0.45279795501625675
AC008014-1,124,black,black,0,0.6436018150208753,-0.34233659858064874,0.5148726080613275
AC016831-7,135,silver,silver,2,0.14876169398410807,-0.018932417497658147,0.3055952078795356
AC105402-3,72,black,black,0,-0.8203382419653057,0.41817895536570654,-0.6327032182710638
AC118549-1,129,black,black,0,0.5377455229349539,0.003956986747355031,0.44250702355137284
ACACA,128,black,black,0,0.41261751444607353,-0.25066578478402596,0.3851807746167097
ACADSB,97,black,black,0,0.7249219818114264,0.0005413455034008227,0.2052182166799404
ACADVL,104,black,black,0,0.6649404385010376,0.12536770142632214,0.0970018342054842
ACAP2,141,black,black,0,-0.22751653201001587,-0.3838887988718637,0.22684740761169558
ACBD6,125,black,black,0,0.5617740329672666,-0.39466532685067574,0.5175053583830744
ACO1,93,black,black,0,0.8167003427974335,-0.00043779015409734217,0.3427371506368385
ACOX1,113,black,black,0,0.5511818273724745,-0.09401389091779197,0.21911326268815906
ACSL1,132,silver,silver,2,0.3443787143383623,-0.15063359420780692,0.2681377044362205
ACSM2A,81,black,black,0,0.8151305325484295,0.10134151429463943,0.17720217519667736
ACSM2B,75,black,black,0,0.7880103557837408,-0.0127165440238651,0.15779542288097798
ACTB,140,black,black,0,-0.5274563302594862,0.6648249558650507,-0.7060594674192242
ACTG1,137,black,black,0,-0.05407779060585356,0.6817562816838176,-0.43890608405137344
ACTR2,139,black,black,0,-0.25272574388842123,0.14128681804488985,-0.10867193824801939
ACTR3,138,silver,silver,2,0.30040062878720536,-0.07448777198382617,0.27603052122666694
ADAM10,140,silver,silver,2,0.23055077006025693,-0.15050415154948865,0.32316641342664004
ADAR,133,black,black,0,0.41048886904625476,-0.010226683349737177,0.16468301929895068
ADD1,137,black,black,0,0.3658065159208284,-0.20098523501828786,0.2869693266445949
ADH1B,95,black,black,0,0.8685045917357902,-0.10236800506236614,0.3764194872708581
ADH4,87,black,black,0,0.7784524319118143,0.008815221241157533,0.22883841954486078
ADI1,96,black,black,0,0.716781235122737,0.06665924452859821,0.16902375751677354
ADK,139,silver,silver,2,0.24300013078323773,-0.3562164255878876,0.4739269633049287
AFDN,103,black,black,0,0.8628905432975237,-0.27710254544567997,0.5238236709495702
AFF1,140,black,black,0,0.36308748416463266,-0.20507074281086266,0.4357425602399334
AFF4,141,black,black,0,0.3941960800110858,-0.4597281557052463,0.5669157913371615
AGAP1,138,black,black,0,0.5989713404642945,-0.3190624885476466,0.5068922120033749
AGFG1,130,black,black,0,0.5118007666281416,-0.36550256645112755,0.5554088325610247
AGMO,114,black,black,0,0.6646240986444594,-0.2224524197734508,0.4932370160131878
