,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro,kMErosybrown,kMEsnow
CAMK2D,6,rosybrown,rosybrown,4,0.1437496834356167,-0.09796830272046655,0.15899782469283,-0.46170795091639105,0.9389871400010437,0.03814980300318353
SCD,6,rosybrown,rosybrown,4,0.10640234789155384,-0.1845538172936615,-0.18634449191163388,-0.21504419886772286,0.932692763976845,0.2547134618578272
NDFIP1,6,rosybrown,rosybrown,4,0.03880573708745155,0.0466148001058648,0.21646623435727724,-0.35536737067654917,0.9214432630457867,-0.11162474400632197
LSM14A,6,rosybrown,rosybrown,4,0.1268102763018627,-0.20955594961987917,-0.1888711951910217,-0.16636355891738402,0.9046319183880719,0.2624030987189842
SIK3,6,rosybrown,rosybrown,4,-0.2693205361022737,0.3574325451935562,0.17759042230281413,-0.33654593568883057,0.8765033134899257,-0.39375651343214063
FTL,6,rosybrown,rosybrown,4,0.47288745718726777,-0.3695967329088051,0.35616962580270073,-0.46045964702288084,0.8369270352429753,0.21352660130006074
EEF2,6,rosybrown,rosybrown,4,-0.4163096928585173,0.25848985698520394,-0.5318035165481583,0.22148089360146314,0.8286902272143435,-0.018302638043891387
TPT1,6,rosybrown,rosybrown,4,-0.3878195315356047,0.26632321540964976,-0.4614767383593955,0.317745558363209,0.8068411411996552,-0.042131987070677286
MAML3,6,rosybrown,rosybrown,4,-0.02228127604372624,0.1405521283571337,0.3276250849341015,-0.46434817633399655,0.7932262835316328,-0.26871222021828917
TFPI,6,rosybrown,rosybrown,4,0.1408521513192345,-0.2841802133270284,-0.42702807177838736,0.36907526001394997,0.7629146343345367,0.44625378022644874
SORL1,6,rosybrown,rosybrown,4,-0.07679235880097737,-0.09781418004575115,-0.5320083688829431,0.37378083095956643,0.7612970956806714,0.30439109694558003
BRD4,6,rosybrown,rosybrown,4,-0.2886657485165378,0.17183411523289624,-0.39974524764153707,0.10914719273074074,0.757873604279791,0.023184808199559762
RRBP1,6,rosybrown,rosybrown,4,0.07308362508464085,-0.18143347239088706,-0.29170982334295986,-0.05171693876373899,0.7348894282354586,0.3068284258894491
SORD,6,rosybrown,rosybrown,4,-0.3034401132021409,0.10411866112606462,-0.6291785769396714,0.39160456336218247,0.732438103254963,0.15305780784412773
TP53BP2,6,rosybrown,rosybrown,4,0.19008231358006836,-0.1007347431147117,0.21277319180960375,-0.12000182398331118,0.7228239774069805,0.03995765817887748
CPEB4,6,rosybrown,rosybrown,4,0.27027449561580996,-0.08735136161879409,0.5291136002695545,-0.5431433419527898,0.6668794173890245,-0.10635115593708157
DDX3X,6,rosybrown,rosybrown,4,-0.39962381496973387,0.17414181853767086,-0.7444345616105855,0.5609238949551549,0.654886728017466,0.15112311240935272
RAB1A,6,rosybrown,rosybrown,4,-0.35328524448747106,0.3081241289192256,-0.1543579905419506,-0.2981317887776587,0.6475827528666404,-0.2177277064242703
ZCCHC7,6,rosybrown,rosybrown,4,0.12170942081916483,-0.024903908579158553,0.3447008860835056,-0.6350043734639979,0.632830104322604,-0.13718117580054418
TRPS1,6,rosybrown,rosybrown,4,-0.3797486763646461,0.2984099296801544,-0.33527731506285485,0.16182830260972705,0.608232934544038,-0.11300057672909686
AKAP13,6,rosybrown,rosybrown,4,-0.29853696136826224,0.4357589859058818,0.3266009706565015,-0.38881301328464646,0.6077749101470071,-0.5456062671880314
RPL27,5,rosybrown,rosybrown,4,-0.3706717423380092,0.4529165910987161,0.1697805719366803,-0.4256554559324886,0.5571830660789635,-0.47162431798830023
ILRUN,6,rosybrown,rosybrown,4,-0.12544850138181632,0.00023208165522564065,-0.38315303211843077,0.28540692041347987,0.5275745966254956,0.1368567015622545
ATE1,6,rosybrown,rosybrown,4,0.009507124211725235,-0.09210722228080426,-0.2536770865274315,0.2597848824631108,0.49478291994078644,0.1736477677526946
SMAD3,6,rosybrown,rosybrown,4,0.297439974878851,-0.2967484681142694,0.13589056640687408,-0.6366917889626429,0.44924217848703957,0.21654100669354873
METTL7A,6,rosybrown,rosybrown,4,-0.1265045256683589,0.2483614871578747,0.3343018796864575,-0.3861938547203419,0.42738866726399993,-0.3871766351095028
PUM1,6,rosybrown,rosybrown,4,-0.3205002617529563,0.08901803089053371,-0.7218621727473762,0.45212832698582234,0.40556776734796485,0.227558106894732
CELF2,6,rosybrown,rosybrown,4,-0.3276851213739103,0.42870255071499624,0.2776742033160567,-0.6390397149322404,0.358096647550188,-0.5090778599216211
ASH1L,6,rosybrown,rosybrown,4,-0.23022719085507626,0.3480157108595062,0.3639133800506213,-0.7034363285607398,0.3410745239326765,-0.4942465560288997
KDM5A,6,rosybrown,rosybrown,4,0.17553167641804995,-0.1595545626403812,0.16284095517964584,-0.6551014117093087,0.31377364203524016,0.07715647460186519
RPL7,6,rosybrown,rosybrown,4,-0.32519222599670444,0.5031074349366073,0.4829554369140839,-0.637118677914415,0.2978674457124764,-0.6819654757569971
PAFAH1B1,6,rosybrown,rosybrown,4,0.3510672748029724,-0.2653715727790831,0.25266359780120334,-0.1438836753565054,0.22485949331903066,0.18263353556755443
MAP4K3,6,rosybrown,rosybrown,4,0.06193552725926597,2.567535046072463e-05,0.25146229540734877,-0.4546126213125318,0.19396537843231448,-0.13770092463608036
MAPK1,6,rosybrown,rosybrown,4,-0.22883650476412976,0.3068026183147131,0.27312583385489037,-0.689193918607467,0.08881797911351572,-0.41506479370081917
KANK1,6,rosybrown,rosybrown,4,-0.17104235750696478,0.07914745085062726,-0.19706769473052377,-0.18326340045951817,0.0630632766839147,-0.03404986715725473
BRAF,6,rosybrown,rosybrown,4,-0.024254920797705658,-0.021512597853251974,-0.028676760941292633,-0.38201163635464774,0.06138948999200935,-0.008024481544419697
KLF9,6,rosybrown,rosybrown,4,0.2316915605748397,-0.22863839566313113,0.15282215385021145,-0.5076153931147409,0.05105517415592739,0.11182344045303334
UBE2D2,6,rosybrown,rosybrown,4,-0.027931149551586567,0.09821664833594743,0.22333632594936356,-0.4242352538419482,-0.024480459871810124,-0.1636947986537435
MTDH,6,rosybrown,rosybrown,4,-0.5613205905614701,0.4381314136422954,-0.3713827454263087,-0.06245709930454421,-0.03830211591669541,-0.2711051225750795
PPP4R3A,6,rosybrown,rosybrown,4,-0.2156824545731561,-0.011264526830460876,-0.600391277259442,0.14671693954756349,-0.08221786954228892,0.24099772034499856
SERP1,6,rosybrown,rosybrown,4,0.02768717593260019,0.03430410543732748,0.23216033179831536,-0.4589598858565531,-0.19931580266914178,-0.11677859522367995
TTC28,6,rosybrown,rosybrown,4,-0.3577581466893011,0.31445217831563604,-0.1744567756911039,0.033902930631262054,-0.2032453044492442,-0.20289595047559408
KIF1B,6,rosybrown,rosybrown,4,-0.3691646287117737,0.19888509578169164,-0.4865905070079408,0.15203545258870674,-0.2599039926911118,0.008452779918183937
SEPTIN2,6,rosybrown,rosybrown,4,0.033841710140198496,-0.10670089294968381,-0.09413815534771647,-0.2275712931633709,-0.2642838485230362,0.0960428861751838
HIVEP2,6,rosybrown,rosybrown,4,0.21386437939178782,-0.1256531289437153,0.3844863118647336,-0.5720635142332351,-0.3546688372666389,-0.07496145408843616
EPB41L5,6,rosybrown,rosybrown,4,0.29587763879532075,-0.28352812332362975,0.19015302019088645,-0.41408351889338674,-0.3871638335875718,0.14877738053759712
RPL5,6,rosybrown,rosybrown,4,-0.4424301009821893,0.3349560245438262,-0.3289421953249107,0.264676390667999,-0.5459885044934515,-0.21203026663772329
ELL2,6,rosybrown,rosybrown,4,-0.21096449141347262,0.4266621941619057,0.557882746983937,-0.22429368692207863,-0.740648329483918,-0.6178303945500639
FGD4,5,rosybrown,rosybrown,4,-0.24678869273219775,0.3377236541072907,0.21056461147851283,0.008923911893549644,-0.8174961522570386,-0.39052381781376055
NF1,6,rosybrown,rosybrown,4,-0.15313552384607282,0.2481258369196006,0.28028246554792563,-0.11479527851162899,-0.8531561343304387,-0.36736618099127716
PLIN2,5,rosybrown,rosybrown,4,-0.3835667788207256,0.3817692531717777,-0.08981906890553316,0.3480296626325536,-0.8585555937649144,-0.3115114528447097
STAU1,6,rosybrown,rosybrown,4,-0.19563877559607576,0.15169323017366668,-0.20124631622118896,0.6063275962135065,-0.8618332097350095,-0.05504344887853151
SPTAN1,6,rosybrown,rosybrown,4,-0.3875900183271938,0.3007423071413418,-0.32443739450876863,0.5815996222718025,-0.8750677607733185,-0.15576643345288843
ROBO1,5,rosybrown,rosybrown,4,-0.22660246054263414,0.2850352536386734,0.11471359839772183,0.1668532205397066,-0.9030041369564575,-0.3050660604465744
ATXN1,6,rosybrown,rosybrown,4,-0.3785321351688618,0.34864461383938156,-0.1421456305398931,0.3363221744795541,-0.9282065336380948,-0.2740062803884044
