,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro,kMErosybrown,kMEsnow
SIK2,6,dimgrey,dimgrey,2,0.4113057138920761,-0.09039895269659592,0.9881608035554081,-0.8293489208857293,-0.14905846191914454,-0.3117717625962841
PNRC1,6,dimgrey,dimgrey,2,0.5219217416830542,-0.21307040348243286,0.9578317765305617,-0.7484071515316737,0.021992549393930066,-0.18768065217074903
NCOR1,6,dimgrey,dimgrey,2,0.5238422004654028,-0.21734815929258677,0.9539338134992348,-0.6998332472745145,-0.2516481868593966,-0.17788874306366256
COX5B,5,dimgrey,dimgrey,2,0.4867791402530941,-0.1740298397810781,0.9509648926785943,-0.6393268612997411,-0.1988703483268717,-0.21695106913052356
NFIA,5,dimgrey,dimgrey,2,0.6252102830423577,-0.3281161718435758,0.946531489852587,-0.7585339484214717,-0.03138836587654073,-0.0710016832750407
ESYT2,6,dimgrey,dimgrey,2,0.496137037679712,-0.20309476879462568,0.9439678886974352,-0.8180635912421624,-0.20622022731572132,-0.20174106339094997
UGT2B4,5,dimgrey,dimgrey,2,0.6155521744112863,-0.32907393093396176,0.9408619878451084,-0.8804820643664129,0.0327711886785216,-0.07498021376217567
ARF1,5,dimgrey,dimgrey,2,0.6456990505040532,-0.3534766884992289,0.9368311104595424,-0.7440438508818759,-0.011969421497019945,-0.04631483741823929
CELF1,6,dimgrey,dimgrey,2,0.6714178514254338,-0.3866509188125593,0.9327063927515273,-0.7810995950757784,-0.06753639559527136,-0.015697586794832404
ASS1,5,dimgrey,dimgrey,2,0.6622092100060264,-0.3763377353785774,0.929579359698617,-0.7763682587844672,0.021868126032767415,-0.024721579716627504
HSP90B1,6,dimgrey,dimgrey,2,0.6151151910791279,-0.32211511506331814,0.9291192431052538,-0.7231750176498416,-0.09153890964184895,-0.06563495374630289
PLCB1,5,dimgrey,dimgrey,2,0.6351424936922564,-0.351642520870568,0.9257699909047582,-0.8002137043749186,-0.10672231656010545,-0.041659531636812325
C4BPB,5,dimgrey,dimgrey,2,0.6320418227760543,-0.3490940642968112,0.9114143480569062,-0.7293566411501624,-0.14496877923308665,-0.03425931546299489
SH3D19,5,dimgrey,dimgrey,2,0.6838289267110106,-0.4101938968330079,0.9096359847146928,-0.7425132795079527,-0.1771115673804352,0.010927561226357371
DLC1,5,dimgrey,dimgrey,2,0.680236431273834,-0.404480426043593,0.9071007418985713,-0.7679887548467703,0.05017089199056507,0.00793969860100723
SETD5,6,dimgrey,dimgrey,2,0.5663376131670522,-0.28073708659952523,0.9065258097040592,-0.6232973900658166,-0.3276581591134198,-0.10736063306134061
STIM1,6,dimgrey,dimgrey,2,0.6387218707653309,-0.36576317243812695,0.9057926005276479,-0.7632964437716967,-0.26345977474020643,-0.026031615830564854
ZMYM4,6,dimgrey,dimgrey,2,0.4392895147261786,-0.14793957961887214,0.9041085484055388,-0.8604079701711413,0.34085709452968216,-0.22515597097249837
PARP4,6,dimgrey,dimgrey,2,0.632071744260991,-0.3631858662436712,0.9036124928035864,-0.8072007660530127,-0.23949208091336388,-0.03157060796793084
UHMK1,5,dimgrey,dimgrey,2,0.7215046436220788,-0.45183315879286,0.9035222209387066,-0.7934706591621579,-0.008589220962857176,0.05661073708299864
SEC61B,5,dimgrey,dimgrey,2,0.7017750632345889,-0.4314145131839637,0.9027832047840202,-0.736897233160901,-0.17951301243940088,0.034863974201661624
GLUL,5,dimgrey,dimgrey,2,0.5907733229144334,-0.2980790625337234,0.8999362704245022,-0.604125249248363,0.0010294927743643484,-0.07464239090990793
DLEU2,6,dimgrey,dimgrey,2,0.5780587282165233,-0.3116452764302413,0.8971456484489555,-0.8713421302401452,-0.0676573200340589,-0.08516456780279161
EPS8,5,dimgrey,dimgrey,2,0.6900267237241416,-0.4175315328241955,0.896727327951837,-0.6778182235968797,-0.23344317107230417,0.027577689281010506
NBPF12,5,dimgrey,dimgrey,2,0.7347446808603163,-0.4653625286200661,0.8937791716237263,-0.7306829247304163,-0.030534853078711312,0.07609223829415407
CHD9,6,dimgrey,dimgrey,2,0.6917930054028197,-0.42474451162588067,0.8929699987047995,-0.7277849976981683,-0.24007842854286973,0.034531732230395684
SEC63,6,dimgrey,dimgrey,2,0.2862963374820184,0.003426966920066223,0.892586579257643,-0.9088403151568781,0.04410782706686623,-0.35629190754117546
DNAJC3,5,dimgrey,dimgrey,2,0.7346595135934642,-0.47191263174935755,0.8908531117743169,-0.8072977970816153,0.005456838497451497,0.07974488589996409
CREBBP,6,dimgrey,dimgrey,2,0.668219940189737,-0.39050927467684626,0.889251389556376,-0.6586213418506927,0.0373611253469612,0.007250112241248932
EIF4A2,5,dimgrey,dimgrey,2,0.7344847578941194,-0.47225807813335124,0.8891496636714278,-0.7797891029850553,-0.02521967495091112,0.07708543678457104
CLASP2,6,dimgrey,dimgrey,2,0.6522606537708568,-0.38815526087174546,0.8872366576828515,-0.8162688255134608,-0.1452624991013598,0.005575905517149305
NDUFC2,5,dimgrey,dimgrey,2,0.7205293256102651,-0.4536104085235509,0.8844783819514479,-0.7037780229097647,-0.13717582082804092,0.07094716539340389
HIBCH,6,dimgrey,dimgrey,2,0.7168344104816257,-0.4547130676638938,0.8837977031907732,-0.7396323581203262,-0.08051477270887547,0.060469106224910994
LDLRAD4,6,dimgrey,dimgrey,2,0.6267093921081014,-0.3649815481590598,0.8827957725338537,-0.9198635219990019,0.13748609865733474,-0.016568829774184793
ACOX1,5,dimgrey,dimgrey,2,0.6881188074586414,-0.41268184087043697,0.8795842154438651,-0.6465031933547605,0.04941011701733745,0.038626677941801774
SERPINF2,5,dimgrey,dimgrey,2,0.6788403250163907,-0.4150399183915156,0.8766356164070046,-0.6555370574100735,-0.29962753290297156,0.028422229486708302
CAT,5,dimgrey,dimgrey,2,0.7190476653600659,-0.4650885849012375,0.8755787921222157,-0.8205652095545763,-0.015119554158285937,0.07164752451252175
ATOX1,5,dimgrey,dimgrey,2,0.7387415018450224,-0.47748433005713525,0.8750018157050146,-0.7053397551099564,-0.14269966848056578,0.09581098184842705
UBE2D3,6,dimgrey,dimgrey,2,0.7378953513357203,-0.4842711740411728,0.86261504775689,-0.8093095631651283,0.08305075444369153,0.10729711751592741
L3MBTL4,6,dimgrey,dimgrey,2,0.7112537825387976,-0.4606105035012632,0.8598951401691859,-0.8616743539724585,0.18656637101144813,0.0791193567614483
HNRNPK,6,dimgrey,dimgrey,2,0.6933368755197952,-0.4426619087872571,0.8588919763512971,-0.863640003810249,0.06715950777511258,0.0682049275271335
EIF4EBP2,5,dimgrey,dimgrey,2,0.6392074666325961,-0.3884154078812331,0.8581712767308404,-0.8450581870345807,0.0742288668286419,0.0023877925011770197
SLC39A14,5,dimgrey,dimgrey,2,0.7213633132638311,-0.4626166216901267,0.8580663101540369,-0.6629891991257397,5.6461672716881434e-05,0.081407777836603
EBNA1BP2,5,dimgrey,dimgrey,2,0.7576094655489762,-0.5125537561753067,0.8551603580724484,-0.7903731551163312,-0.02109507755824767,0.1246915318296602
MORF4L2,6,dimgrey,dimgrey,2,0.49694517772280467,-0.23708353964394552,0.8526368027609575,-0.9500682856940996,0.3051121263970955,-0.12121803956363617
AOPEP,6,dimgrey,dimgrey,2,0.4434013028111949,-0.16425902662960112,0.8515163972483842,-0.6952413240660104,0.3070739208129354,-0.19085685655767393
TOP2B,6,dimgrey,dimgrey,2,0.7486982307900188,-0.5018914468186,0.8511950994045445,-0.7432169950481994,-0.028715839901482142,0.11573183357588765
DOCK4,5,dimgrey,dimgrey,2,0.7724238882865863,-0.5225713560503195,0.8506242971647804,-0.6661559583534826,-0.1848940961798651,0.1443978932744977
RNF19A,6,dimgrey,dimgrey,2,0.5505001218933678,-0.277141950558183,0.8499249623343799,-0.5445693934056812,-0.33131157829047225,-0.07157523145628557
ADI1,5,dimgrey,dimgrey,2,0.7321465481582901,-0.4907984221909618,0.847383543245085,-0.8201862461742891,0.008358305223540221,0.1048042020608324
GPX4,6,dimgrey,dimgrey,2,0.61586753397921,-0.3481676534684621,0.8465301183603947,-0.7010539300095944,0.3172785654999476,-0.009508173705709121
AHCTF1,5,dimgrey,dimgrey,2,0.7932170894079584,-0.5484395991232073,0.8454740339664781,-0.6964257330441318,-0.10435224830854163,0.16692451633141395
SEPTIN7,6,dimgrey,dimgrey,2,0.6655693343845582,-0.4213254912344847,0.8430706904058733,-0.7211354067673128,-0.28891034736122534,0.03906589696400208
LARP4,5,dimgrey,dimgrey,2,0.7864581037081024,-0.5471167718670503,0.8393562023325901,-0.8033696437968397,0.06470057459378178,0.1699545232463366
PARD3B,5,dimgrey,dimgrey,2,0.7767557428459714,-0.5249795163366523,0.8386655068899367,-0.6100180796117656,-0.06849854381976782,0.1557717751708349
PPP1R12B,6,dimgrey,dimgrey,2,0.7648444376550858,-0.5239771709802095,0.8361094255300123,-0.8156712383250401,0.13222960769166864,0.15300475724203447
MAGI1,5,dimgrey,dimgrey,2,0.8127189687228396,-0.5713875912090829,0.8354082344613267,-0.7083414620440933,-0.00824446064040123,0.19573768525745708
HDGF,5,dimgrey,dimgrey,2,0.8105422526027447,-0.5729451349509936,0.8330193549560436,-0.7490673494713443,-0.009860485879085872,0.19750512567002163
THRAP3,6,dimgrey,dimgrey,2,0.7285424777455006,-0.48268261892316755,0.8325812737743938,-0.7790814270306776,0.2602435351899879,0.1133189887213421
LPP,6,dimgrey,dimgrey,2,0.6837104029736893,-0.4293033819457537,0.8317793001904528,-0.6839885053756587,0.22989691371911147,0.06450965430009559
EHMT1,6,dimgrey,dimgrey,2,0.7652055950900782,-0.5241599811653693,0.8313931246774444,-0.7824128688077058,0.19397238647737353,0.15099440338763057
SORBS1,5,dimgrey,dimgrey,2,0.7193452772942338,-0.47495840109196463,0.8310676281283588,-0.6575503187932948,-0.30211765200438556,0.10997751935098585
