"tf_name","motif_id","gene","grn_weight"
"HNF4A","MA0114.4","SYBU",0.391328930607159
"HNF4G","MA0484.2","SYBU",0.388057828746514
"HNF4A","MA1494.1","NFIC",0.354034120431514
"HNF4A","MA1494.1","SYBU",0.34712109545129
"HNF4A","MA1494.1","TF",0.337698064205959
"HNF4G","MA0484.2","XYLB",0.333195550245591
"HNF4A","MA0114.4","TF",0.332107493574311
"HNF4A","MA0114.4","ENAH",0.332057074324372
"HNF4A","MA1494.1","WWP1",0.330234290232974
"HNF4A","MA0114.4","XYLB",0.328512466743125
"HNF4G","MA0484.2","ENAH",0.32795101690383
"HNF4G","MA0484.2","TF",0.32542721718954
"HNF4A","MA1494.1","CYP3A4",0.324064049041645
"HNF4A","MA1494.1","SELENBP1",0.322824046707264
"HNF4A","MA0114.4","C4BPB",0.321476452771025
"HNF4G","MA0484.2","C4BPB",0.319345196990222
"HNF4A","MA1494.1","UBR5",0.307309298267824
"HNF4A","MA1494.1","POGZ",0.301900314049727
"NR1H2::RXRA","MA0115.1","BHMT2",0.287926898991777
"HNF4A","MA1494.1","ATAD2",0.287179518045149
"HNF4A","MA1494.1","AGT",0.282740357028058
"HNF4A","MA0114.4","EPHX1",0.281737405281285
"HNF4A","MA0114.4","DCAF8",0.277809689760626
"HNF4G","MA0484.2","DCAF8",0.276917200571265
"NR1H2::RXRA","MA0115.1","RREB1",0.276475985991003
"HNF4A","MA0114.4","GPT",0.271867627218717
"HNF4A","MA1494.1","PIP5K1A",0.270280143370673
"HNF4A","MA1494.1","ZHX2",0.268433701045711
"HNF4A","MA1494.1","MTDH",0.268349247385905
"HNF4G","MA0484.2","GPT",0.265692395741079
"NR1H2::RXRA","MA0115.1","MTSS1",0.265262622519498
"HNF4A","MA1494.1","PSMD4",0.257738383987201
"HNF4A","MA0114.4","ATXN7L1",0.255315346996684
"HNF4A","MA1494.1","DCAF8",0.254834071303318
"HNF4A","MA1494.1","PDE4DIP",0.252757914368725
"NR1H2::RXRA","MA0115.1","RALGPS2",0.249922618067709
"HNF4G","MA0484.2","ATXN7L1",0.249081018458823
"NR1H2::RXRA","MA0115.1","BHMT",0.246903565533338
"HNF4A","MA1494.1","PPP1R12B",0.245594770956104
"HNF1B","MA0153.2","RREB1",0.244422700108463
"NR1H2::RXRA","MA0115.1","WWP1",0.244388367123398
"HNF4G","MA0484.2","SEC14L2",0.240349744836232
"ETS1","MA0098.3","APOA2",0.240171668762433
"HNF4A","MA0114.4","SEC14L2",0.239516525734092
"ETV2","MA0762.1","APOA2",0.239092863975562
"FOXJ2::ELF1","MA1952.1","APOA2",0.238928092170915
"HNF4A","MA1494.1","MIA3",0.238762386104828
"HNF4A","MA1494.1","TNIP1",0.235652956251186
"ERF::FOXI1","MA1935.1","APOA2",0.235103246470564
"NR1H2::RXRA","MA0115.1","NSMCE2",0.233392396032028
"NR1H2::RXRA","MA0115.1","SELENBP1",0.232635743469596
"ERF","MA0760.1","APOA2",0.231409456190399
"HNF4A","MA1494.1","NRBP2",0.230741432441555
"ETV1","MA0761.2","APOA2",0.228767478326053
"HNF4A","MA1494.1","NDUFAF6",0.228333996813885
"NR1H2::RXRA","MA0115.1","EFR3A",0.225079974004636
"HNF4A","MA0114.4","SCAP",0.224182544751415
"HNF4A","MA1494.1","KHDRBS3",0.22361412232286
"HNF1B","MA0153.2","SNTB1",0.223416759338792
"ETV5::FOXI1","MA1946.1","APOA2",0.222691596324321
"HNF4G","MA0484.2","NDUFAF6",0.222567012191836
"ELF2","MA1483.2","APOA2",0.221718364538412
"HNF4A","MA0114.4","NDUFAF6",0.221633590176457
"NR2F1","MA1537.1","NFIC",0.220211358236809
"NR1H2::RXRA","MA0115.1","DMGDH",0.22009789476862
"HNF4G","MA0484.2","SCAP",0.219759134424117
"FLI1","MA0475.2","APOA2",0.21970429494377
"HNF4A","MA1494.1","TMEM63A",0.219067078780781
"NR2F1","MA1537.1","POR",0.219039383229941
"HNF4A","MA1494.1","RMDN1",0.218851359812725
"HNF4A","MA0114.4","TMEM63A",0.218822588712471
"NR1H2::RXRA","MA0115.1","POGZ",0.217769673156168
"HNF4A","MA1494.1","ARNT",0.217501179060863
"RXRG","MA0856.1","POR",0.215668282187433
"HNF1B","MA0153.2","WWP1",0.215574916826857
"HNF4A","MA1494.1","TAF2",0.21426010326018
"FEV","MA0156.3","APOA2",0.213674534599725
"ELK3","MA0759.2","APOA2",0.210751720671714
"HNF1B","MA0153.2","EFR3A",0.208261944692194
"HNF4A","MA0114.4","PLEKHA6",0.207681401069127
"HNF1B","MA0153.2","RALGPS2",0.20704291062425
"HNF4G","MA0484.2","PLEKHA6",0.20623418279653
"NR1H2::RXRA","MA0115.1","ATAD2",0.206026214397553
"ELK1::HOXA1","MA1931.1","APOA2",0.205579081164099
"RXRG","MA0856.1","SYBU",0.2047298739512
"NR1H2::RXRA","MA0115.1","PIP5K1A",0.204509553547465
"HNF4G","MA0484.2","PUS7",0.204374659327314
"NR1H2::RXRA","MA0115.1","AGT",0.204338295084233
"RXRG","MA0856.1","MTSS1",0.203714035026107
"ETV3","MA0763.1","APOA2",0.203348712585297
"HNF4A","MA0114.4","PUS7",0.201214834946427
"ETS2","MA1484.1","APOA2",0.200586368185732
"ETV4","MA0764.3","APOA2",0.200489053523011
"HNF1B","MA0153.2","TF",0.199486803264751
