,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro
A1BG,37,black,black,0,0.6928720569017298,-0.8271916228462868,-0.5800056447213289,0.3825206646818598
A1CF,36,black,black,0,0.9299262662852523,-0.6895097136920523,-0.4841009907131888,0.4397698891807074
A2M,37,black,black,0,0.7356629859735166,-0.8431065330400022,-0.3607310862474816,0.19285074980809377
AAK1,37,darkgrey,darkgrey,1,-0.748119487387072,0.8709781082038677,0.5976101151764558,-0.4312455803685003
AASS,36,black,black,0,0.8855713562187154,-0.6300365343029758,-0.2888985999137713,0.2117583898524747
ABCA1,37,darkgrey,darkgrey,1,-0.19819457490789552,0.19084581266303943,0.3094877486460999,-0.27317894869026527
ABCA6,36,black,black,0,0.8355671944758185,-0.5858562200304006,-0.1505454180610458,0.06983328022001918
ABCB11,34,gainsboro,gainsboro,3,0.5389725375651175,-0.6486141017125854,-0.7903666974974776,0.7230781231249369
ABCC2,35,black,black,0,0.7757468334163112,-0.5721260221226858,-0.5696728650313527,0.5434067192602184
ABCC6,31,gainsboro,gainsboro,3,0.7104837800992512,-0.6010882576789226,-0.6526900910267754,0.6556485848620441
ABCD3,37,black,black,0,0.5796244245655823,-0.4082994394720651,0.06898350395130916,-0.14952982344987448
ABHD2,37,darkgrey,darkgrey,1,0.25438930711711605,-0.23867386743741337,-0.12256904798124259,0.13091385011561563
ABLIM1,37,gainsboro,gainsboro,3,0.26019656922492834,-0.3713317957380546,-0.5864752136376871,0.5951629079614335
ABLIM3,37,dimgrey,dimgrey,2,-0.01224109428701162,0.25438530841073925,0.603757272176525,-0.5783456277074528
AC008014-1,37,dimgrey,dimgrey,2,-0.330282349448991,0.16684410291174917,0.6717908028725003,-0.7480789718976282
AC016831-7,37,darkgrey,darkgrey,1,-0.6580350083485649,0.7528451002286722,0.6550917674041886,-0.5542016916032201
AC105402-3,10,gainsboro,gainsboro,3,-0.08018067737220462,0.3799665668791233,-0.26296580807325476,0.48297658252164855
AC118549-1,37,dimgrey,dimgrey,2,-0.22035053044861197,0.29932215306673116,0.7478720292839778,-0.7463437552621415
ACACA,37,dimgrey,dimgrey,2,-0.637510182924829,0.6081629919524608,0.6144242923690102,-0.4991478517826063
ACADSB,36,black,black,0,0.9141024303082195,-0.7889990729397437,-0.49257418920151114,0.3719997073651237
ACADVL,37,darkgrey,darkgrey,1,0.20527219949886033,-0.1507832182971599,0.12878115106099092,-0.17682545884916898
ACAP2,37,darkgrey,darkgrey,1,-0.7770800850134012,0.7092260355927347,0.5471623525209294,-0.42295308548979343
ACBD6,37,dimgrey,dimgrey,2,-0.43600099806667153,0.32953105096262236,0.7638085155439285,-0.8086409781954034
ACO1,37,black,black,0,0.718404408823442,-0.7487332883299755,-0.4531874382629656,0.3080867097881698
ACOX1,36,black,black,0,0.9117239880989516,-0.6597409418004717,-0.32664238431799325,0.25433671716884143
ACSL1,37,gainsboro,gainsboro,3,0.680889668698775,-0.4601196505548844,-0.7677015012099739,0.8134401156288554
ACSM2A,36,black,black,0,0.8839502751733189,-0.5932399758540664,-0.6120519707666922,0.6086369769968386
ACSM2B,37,gainsboro,gainsboro,3,0.623882440907827,-0.5798793460647872,-0.8782940656808155,0.8495318621350582
ACTB,37,gainsboro,gainsboro,3,0.543847336397565,-0.5784254122111843,-0.9516722389705016,0.9563660584418964
ACTG1,37,gainsboro,gainsboro,3,0.5594049252579921,-0.6860801158704122,-0.8900278815384713,0.8405840479059103
ACTR2,37,darkgrey,darkgrey,1,-0.40585803779457,0.38102430309311985,-0.04998233406864272,0.18131661291996506
ACTR3,37,dimgrey,dimgrey,2,-0.2795131677287108,0.23325384162160587,0.7855378875451896,-0.839916745027041
ADAM10,37,darkgrey,darkgrey,1,-0.32126985845933687,0.3613284706017755,0.5658256506555484,-0.5002051994471867
ADAR,37,black,black,0,0.8257354124506894,-0.657142735828442,-0.3138582908022512,0.25811081139201847
ADD1,37,darkgrey,darkgrey,1,-0.3344848717661869,0.41705330286101056,0.38435812169859657,-0.2687211811786275
ADH1B,36,black,black,0,0.9047597837750885,-0.7282227534212936,-0.4411641656867839,0.3035666211385448
ADH4,34,black,black,0,0.715617069709742,-0.620571037228532,-0.5278658002303047,0.3663028549851029
ADI1,37,black,black,0,0.7192002652448025,-0.7075265153592974,-0.883159590916237,0.8088729816411908
ADK,37,dimgrey,dimgrey,2,-0.7812774875901458,0.7433767296949929,0.7139736803188907,-0.6120624380100501
AFDN,37,dimgrey,dimgrey,2,-0.003511152320940498,-0.008074123682475664,0.71067861207857,-0.7918420016976978
AFF1,37,dimgrey,dimgrey,2,-0.429643325968527,0.421093924741868,0.7962990608764147,-0.8287899006053393
AFF4,37,dimgrey,dimgrey,2,-0.5550338550037013,0.5973923471882542,0.5761916182551926,-0.5576838807460534
AGAP1,37,dimgrey,dimgrey,2,-0.23198489362757968,0.4423428049143552,0.8289219188896302,-0.7475755799484055
AGFG1,37,dimgrey,dimgrey,2,-0.543739055616967,0.5030384434824974,0.8065133291955545,-0.766912079410345
AGMO,37,gainsboro,gainsboro,3,0.4752946791940736,-0.5197662481662674,-0.6723278080879139,0.625939891037876
AGPAT3,37,black,black,0,0.11555809333528061,0.18701319794573723,0.4217540159591176,-0.32133040427640525
AGT,37,black,black,0,0.8325525307953253,-0.9095167517823505,-0.7453481085309346,0.5979972477816115
AGXT,36,black,black,0,0.9290438957941802,-0.7342347658243162,-0.5277366236624937,0.4872722868369533
AHCTF1,37,darkgrey,darkgrey,1,-0.3338242405169267,0.2647976572023546,0.5311957111113321,-0.5778616049205652
AHNAK,37,gainsboro,gainsboro,3,0.14094241880829417,-0.241183106221461,-0.565489428852269,0.6457609907089786
AHR,37,darkgrey,darkgrey,1,0.07621742033709986,-0.3622028410851569,0.03890405391864472,-0.21595923955176385
AHSG,36,black,black,0,0.8958301307872699,-0.5796822204688873,-0.45785286838123435,0.45188076251068837
AIG1,37,darkgrey,darkgrey,1,0.3944350262228895,-0.4303000123022311,0.23059389931874183,-0.38883775066659154
AKAP13,37,dimgrey,dimgrey,2,-0.8028806464054582,0.8391083624688964,0.863184070434067,-0.7470420067516104
AKAP9,37,darkgrey,darkgrey,1,-0.5919974731298479,0.7094513218143105,0.5611524644400048,-0.47764521396630455
AKR1C1,36,black,black,0,0.8445362843884808,-0.6276468636377737,-0.7250377871555844,0.6953969041065571
AKR1C2,36,black,black,0,0.8937695689577712,-0.7476928829611384,-0.5945163584380283,0.4626749634949894
AL135905-2,31,black,black,0,0.7862407437517696,-0.8898993932886395,-0.4557535549858712,0.2553302785959612
AL391117-1,37,darkgrey,darkgrey,1,0.17677704790343204,-0.11632264652085365,-0.41513119080461464,0.5099414524860988
ALAS1,36,black,black,0,0.9545696097933459,-0.7968776945108201,-0.44080836916798855,0.325319951780251
ALB,37,black,black,0,0.9102028179804353,-0.8172063618459435,-0.4716717709154012,0.3144507274557456
ALCAM,37,gainsboro,gainsboro,3,0.2076335934936907,-0.24116892109678342,-0.6048470784693598,0.6053069145892956
ALDH1A1,37,gainsboro,gainsboro,3,0.6617899233542083,-0.4765498546594177,-0.8538090044793364,0.8828745462255266
ALDH1L1,35,black,black,0,0.709517179858944,-0.5344071809649823,-0.6946476491704491,0.6284088301926405
ALDH2,37,black,black,0,0.8204438814430554,-0.8055099686722135,-0.7745149249671472,0.6672160379604698
ALDH3A2,36,black,black,0,0.9289332046165217,-0.6994750922058579,-0.4180737682235389,0.3363104946626114
ALDOB,36,black,black,0,0.8623538009103758,-0.6030397418004495,-0.19238417971330693,0.1314320388580732
AMBP,37,black,black,0,0.8178433178746659,-0.7010014817608637,-0.9146939753661165,0.8940099791158233
ANG,36,gainsboro,gainsboro,3,0.6154704705121117,-0.6316578706995893,-0.8177924526850268,0.8001661802415381
ANGPTL3,36,black,black,0,0.9392019083333817,-0.7030302948701854,-0.5665087772314878,0.5264641674199295
ANKH,37,darkgrey,darkgrey,1,0.006375898890850846,0.33383054469178075,0.38604819538772217,-0.28133785772847464
ANKHD1,37,dimgrey,dimgrey,2,-0.5035282805176992,0.5400374984101375,0.661654662565829,-0.6249557109339067
ANKIB1,37,dimgrey,dimgrey,2,-0.41324466939822063,0.49743343488236175,0.7556534933200331,-0.7057940716543915
ANKRD11,37,dimgrey,dimgrey,2,-0.6238130964514901,0.8344750409025138,0.7009502178467563,-0.4927889594748899
ANKRD12,37,dimgrey,dimgrey,2,-0.73233920563041,0.8087951757883152,0.8584933007679418,-0.7420550383447102
ANKRD17,37,dimgrey,dimgrey,2,-0.6398234074608203,0.6526398067793677,0.8765516366413504,-0.825130689729044
ANKRD28,37,dimgrey,dimgrey,2,-0.5896856849852079,0.6113577293839567,0.6952381594976709,-0.6028230177054069
ANKRD44,37,darkgrey,darkgrey,1,-0.7291197615528294,0.7086726919680897,0.4832095288389115,-0.35766920722428314
ANKS1A,37,black,black,0,0.30542720564017717,-0.0388212412897095,0.09085703803487563,-0.07016066293338714
ANO6,37,dimgrey,dimgrey,2,-0.2187706806272062,0.17345380283555886,0.7733659498816343,-0.8265294883442829
AOPEP,37,dimgrey,dimgrey,2,-0.5123321196707,0.4536581349543626,0.808688233618917,-0.777663955850325
AOX1,35,black,black,0,0.4953331862576994,-0.5612222536299603,-0.664763024666357,0.4894147420959909
AP3B1,37,dimgrey,dimgrey,2,-0.5468219547895417,0.5726259771360644,0.7950443488608135,-0.7456276511478674
APCS,36,black,black,0,0.938954074234849,-0.7759414513865943,-0.5508133506237971,0.4336428850281054
APLP2,37,black,black,0,0.7878761345156191,-0.8477228510291077,-0.7422477767526984,0.6155344915891463
APMAP,37,gainsboro,gainsboro,3,0.6059007089223407,-0.610987704679479,-0.590299749134748,0.517468774661634
APOA1,37,darkgrey,darkgrey,1,-0.5032570865675097,0.7758804498948999,0.6088875255579035,-0.46741966661665246
APOA2,37,black,black,0,0.9225570035425256,-0.7032386196984016,-0.748347166918003,0.7351627706375115
APOB,37,black,black,0,0.9395754023959548,-0.9361848725696965,-0.5547526596226074,0.38579509124211153
APOC1,37,black,black,0,0.9219268770344169,-0.6503547823723661,-0.6232211164800194,0.6001195914359769
APOC2,36,black,black,0,0.9387868875780264,-0.637354069745234,-0.4628913079311831,0.4393223974980916
APOC3,37,black,black,0,0.908287609290492,-0.7915555040285536,-0.8534143303245422,0.7810903829469241
