,n_cells,dynamicColors,moduleColors,moduleLabels,kMEblack,kMEdarkgrey,kMEdimgrey,kMEgainsboro,kMElightgrey
A1BG,154,gainsboro,gainsboro,3,-0.6279319549728076,0.07634218222107146,-0.41611275192017805,0.7001844417457808,0.26914635235519263
A1CF,138,gainsboro,gainsboro,3,-0.7358642388516752,0.19584937365730143,-0.38912619757418154,0.8734924060612331,0.15171804864640726
A2M,171,gainsboro,gainsboro,3,-0.721893407867422,0.2659440904078239,-0.258527275369359,0.743943346942765,0.1934930758137015
AAK1,223,gainsboro,gainsboro,3,-0.14621363219448727,0.6351534785356536,0.7074192481080408,-0.2020257257282081,-0.3696265498848305
AASS,134,gainsboro,gainsboro,3,-0.5848296450756805,0.08874930199556987,-0.4176332915490974,0.7028997622885993,0.2788573193641444
ABCA1,135,gainsboro,gainsboro,3,-0.7107639555911016,0.3191933806783398,-0.20992501891751927,0.7124636841080314,0.33600919796082973
ABCA6,111,gainsboro,gainsboro,3,-0.729639354044885,0.1918252033648794,-0.4018182240506537,0.828734666570315,0.3731625613886306
ABCB11,125,gainsboro,gainsboro,3,-0.7257910025110574,0.1838925389801031,-0.3963357274167158,0.8034874525897757,0.29079443301479174
ABCC2,124,gainsboro,gainsboro,3,-0.4562041260388392,0.0654960089291086,-0.3266898014678076,0.5959415570444099,0.16694797942134454
ABCC6,93,gainsboro,gainsboro,3,-0.46238414855793236,-0.02652937092603255,-0.45711170638564497,0.6201333452998841,0.39560192886900003
ABCD3,175,gainsboro,gainsboro,3,-0.6207319863389317,0.28405597910337177,-0.17304829509088498,0.6120970186416768,0.2065629627537488
ABHD2,216,gainsboro,gainsboro,3,-0.3717390290442478,0.14823179449243162,-0.1502109526775791,0.40340126671177196,0.18691009753116217
ABLIM1,219,black,black,0,-0.4109325367425581,0.217720091387741,-0.05300993358782455,0.3502884375520715,0.17295676674332755
ABLIM3,102,gainsboro,gainsboro,3,-0.6208972331209202,0.24508106099719978,-0.24456843420972565,0.6562173595751261,0.4276049936419488
AC008014-1,199,gainsboro,gainsboro,3,-0.4604248146760215,0.35710268078880614,0.05449820251481864,0.3980133592658244,0.1433102841306432
AC016831-7,223,dimgrey,dimgrey,2,-0.0372956944434993,0.5215016130849424,0.640496335372869,-0.1770355063856693,-0.3998136059842841
AC105402-3,127,black,black,0,0.8495031968169926,-0.5950539466691843,0.006155603519893572,-0.7277155469036132,-0.39193202916860487
AC118549-1,217,darkgrey,darkgrey,1,-0.4741221426674517,0.41843141962512514,0.1240992514199883,0.3684384578966468,0.017976569999179935
ACACA,211,darkgrey,darkgrey,1,-0.30171144354668544,0.3497270841000643,0.15912681827647912,0.23795530874285448,0.046658061973797973
ACADSB,164,gainsboro,gainsboro,3,-0.6985363637091581,0.3128952125954076,-0.2080420157882651,0.7242624033940098,0.0673201664255085
ACADVL,195,gainsboro,gainsboro,3,-0.4774747659692276,0.21446250440440504,-0.13118154695550174,0.5024182161375618,0.07242461397991455
ACAP2,223,dimgrey,dimgrey,2,-0.05049953510337264,0.442266192416119,0.5215020859388764,-0.15424792209066393,-0.22547878872638658
ACBD6,214,gainsboro,gainsboro,3,-0.49677038362809617,0.40165285293339453,0.06913299680692359,0.3957248941957819,0.16235417264989813
ACO1,151,gainsboro,gainsboro,3,-0.6499812002682418,0.1677109085754519,-0.3346106956915745,0.7207659130552858,0.2490067752456721
ACOX1,182,gainsboro,gainsboro,3,-0.4388110221377764,0.18003543969974012,-0.16348029754099166,0.4662723801940857,0.08364573581654663
ACSL1,213,gainsboro,gainsboro,3,-0.3976832001888677,0.07619250946107209,-0.2520026910224713,0.511849947982784,0.1897778331395469
ACSM2A,132,gainsboro,gainsboro,3,-0.7266366495882778,0.17677747235521193,-0.3974019130242228,0.8595255638552288,0.0730743940169302
ACSM2B,123,gainsboro,gainsboro,3,-0.6724945736742711,0.1270402639952845,-0.40697072154921515,0.8283627391173828,0.02180075254616655
ACTB,223,dimgrey,dimgrey,2,0.5564671590721083,-0.9471717940543679,-0.6955775749927824,-0.22975261113642145,0.2023888864693108
ACTG1,215,darkgrey,darkgrey,1,0.13491253540879608,-0.6591892168821147,-0.6920656327118461,0.13024446480233537,0.2685177156792279
ACTR2,222,lightgrey,lightgrey,4,0.12158199876050646,-0.12205085758942277,-0.039199565099232364,-0.11296849977606553,-0.17281001916114258
ACTR3,223,darkgrey,darkgrey,1,-0.6049900924034891,0.5945624356496539,0.22402505519726815,0.41714228017824584,0.08155284046547723
ADAM10,223,darkgrey,darkgrey,1,-0.22136068780616067,0.5283472901524973,0.48574914897336335,0.023039536971092497,-0.28913047641155165
ADAR,220,gainsboro,gainsboro,3,-0.4326469491065149,0.13930510331018842,-0.1952945348051157,0.4328284765269769,0.11205612705122005
ADD1,222,darkgrey,darkgrey,1,-0.18894535920756392,0.36079173221520794,0.27677727402119023,0.0698721507954742,0.011159323072986367
ADH1B,152,gainsboro,gainsboro,3,-0.7765814737256717,0.33788840382522306,-0.21521653150445194,0.806873180194806,-0.02270025980109329
ADH4,115,black,black,0,-0.5893408501186057,0.24855332062877,-0.13278395601255602,0.565147381086941,-0.1980902072172847
ADI1,157,gainsboro,gainsboro,3,-0.5282933641097338,0.0006183723908950115,-0.4552519468669185,0.7124195934527815,-0.008589794304480635
ADK,222,darkgrey,darkgrey,1,-0.16351850088567474,0.4635869323705942,0.43830854366162525,-0.0319149450598054,-0.15544899026409653
AFDN,163,gainsboro,gainsboro,3,-0.6449594006851839,0.3653932517076723,-0.1148822242823574,0.6149965585373119,0.2592664188629797
AFF1,223,dimgrey,dimgrey,2,-0.15211722718426351,0.5058070169165184,0.5299644708612492,-0.04180920641491282,-0.25644988634811267
AFF4,223,lightgrey,lightgrey,4,0.08033823395679454,0.20579088443906807,0.29596303562913384,-0.1099220456991953,-0.20335569414786914
AGAP1,215,dimgrey,dimgrey,2,-0.0519353247512938,-0.06489426023889966,-0.09037128317408812,0.05187803748725715,0.05812743204440629
AGFG1,216,gainsboro,gainsboro,3,-0.4154714880039282,0.4524260550546971,0.20688161391955778,0.35336149467603895,-0.09417181644214619
AGMO,149,gainsboro,gainsboro,3,-0.281526581886462,-0.0908868898876634,-0.3912784827695017,0.4550159513615196,0.3519336253088349
AGPAT3,223,darkgrey,darkgrey,1,-0.30003064569779403,0.5264752849098817,0.38205676855909954,0.10510158595745374,-0.03795829124190448
AGT,135,gainsboro,gainsboro,3,-0.8306077078794291,0.25285564795300286,-0.39346379657788916,0.9257538828861869,0.24474985313920178
AGXT,131,black,black,0,-0.8241259498600993,0.23947889443926362,-0.4064015846339117,0.9508229162761268,0.2185617016774926
AHCTF1,216,black,black,0,-0.3777405569154822,0.3350315705936199,0.09409014033419771,0.3242817354795676,0.03408410005867651
AHNAK,223,black,black,0,0.12816545054984635,-0.1758107645969809,-0.17809579066220582,-0.07876107504122647,0.5067289353613194
